epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1348.59,1.09093,0.72202,1.11208,0.95995,0.96439,0.98677,0.80262,0.8979,0.43112,1.047,0.00995941,0.00995941,0.00995941
43,1380.46,1.09662,0.72337,1.1102,0.9602,0.97055,0.9894,0.81203,0.91132,0.43597,1.04634,0.00995842,0.00995842,0.00995842
44,1412.5,1.07656,0.71356,1.10229,0.96551,0.93678,0.98457,0.81077,0.91919,0.42645,1.05008,0.00995743,0.00995743,0.00995743
45,1444.61,1.08731,0.71762,1.10697,0.96819,0.94828,0.98299,0.79788,0.93476,0.43077,1.03248,0.00995644,0.00995644,0.00995644
46,1476.73,1.08495,0.70329,1.10288,0.93702,0.97126,0.98425,0.81709,0.86493,0.4315,1.02311,0.00995545,0.00995545,0.00995545
47,1508.82,1.08496,0.70003,1.09924,0.96945,0.95977,0.98298,0.79323,0.95366,0.45686,1.04372,0.00995446,0.00995446,0.00995446
48,1540.83,1.06923,0.70907,1.09932,0.95875,0.95402,0.97595,0.7837,0.897,0.4629,1.03136,0.00995347,0.00995347,0.00995347
49,1572.89,1.07023,0.69954,1.08881,0.97019,0.95402,0.98627,0.80319,0.92674,0.46327,1.02973,0.00995248,0.00995248,0.00995248
50,1604.96,1.08483,0.7028,1.10499,0.95499,0.97558,0.98751,0.8112,0.89135,0.45031,1.0309,0.00995149,0.00995149,0.00995149
51,1637.18,1.06405,0.69826,1.08912,0.96484,0.94828,0.98234,0.79232,0.93449,0.47494,1.03913,0.0099505,0.0099505,0.0099505
52,1669.26,1.07646,0.69303,1.08981,0.95896,0.94011,0.98654,0.80039,0.88367,0.48513,1.02119,0.00994951,0.00994951,0.00994951
53,1701.38,1.07458,0.69525,1.08766,0.96847,0.94253,0.98242,0.79279,0.91453,0.48795,1.0166,0.00994852,0.00994852,0.00994852
54,1733.28,1.05367,0.69338,1.09215,0.95896,0.96552,0.98465,0.8077,0.82892,0.47807,1.01166,0.00994753,0.00994753,0.00994753
55,1765.11,1.04349,0.67789,1.07859,0.96763,0.95977,0.98829,0.79849,0.91451,0.47686,1.02443,0.00994654,0.00994654,0.00994654
56,1797.01,1.0534,0.67443,1.08929,0.93063,0.97701,0.9856,0.80595,0.87545,0.43567,0.98776,0.00994555,0.00994555,0.00994555
57,1828.96,1.05088,0.6868,1.0805,0.95951,0.95336,0.98616,0.81059,0.89559,0.44961,1.0206,0.00994456,0.00994456,0.00994456
58,1860.95,1.05002,0.68217,1.07287,0.95272,0.94828,0.98506,0.80254,0.86163,0.44822,1.00441,0.00994357,0.00994357,0.00994357
59,1892.88,1.04427,0.67354,1.07549,0.97435,0.94828,0.98918,0.80519,0.86522,0.4053,0.99631,0.00994258,0.00994258,0.00994258
60,1924.86,1.03546,0.66907,1.08388,0.96492,0.95402,0.98644,0.81894,0.84662,0.43616,1.00029,0.00994159,0.00994159,0.00994159
61,1957,1.0361,0.66543,1.07368,0.95387,0.95073,0.98197,0.80457,0.84858,0.45707,1.01565,0.0099406,0.0099406,0.0099406
62,1988.82,1.02856,0.66225,1.06915,0.98302,0.95402,0.98316,0.81471,0.88697,0.43803,1.01212,0.00993961,0.00993961,0.00993961
63,2020.92,1.02133,0.67301,1.06993,0.9714,0.97587,0.98812,0.81138,0.89964,0.3992,1.05852,0.00993862,0.00993862,0.00993862
64,2052.87,1.0266,0.65392,1.06671,0.95265,0.97126,0.98345,0.80887,0.88381,0.41437,1.02697,0.00993763,0.00993763,0.00993763
65,2084.77,1.02351,0.65023,1.07513,0.96505,0.96552,0.98687,0.79582,0.85968,0.40774,1.03176,0.00993664,0.00993664,0.00993664
66,2116.74,1.00809,0.65003,1.06222,0.95823,0.97126,0.98736,0.80491,0.94625,0.44714,1.04338,0.00993565,0.00993565,0.00993565
67,2148.7,1.02534,0.65687,1.07332,0.96549,0.96471,0.99045,0.82822,0.88152,0.40618,1.03657,0.00993466,0.00993466,0.00993466
68,2180.77,1.01257,0.65292,1.05751,0.98756,0.94253,0.98828,0.82788,0.87357,0.41118,1.01664,0.00993367,0.00993367,0.00993367
69,2212.82,0.99877,0.63719,1.04969,0.94986,0.97998,0.98359,0.80397,0.85575,0.43678,1.06633,0.00993268,0.00993268,0.00993268
70,2244.83,1.02589,0.64848,1.06763,0.9548,0.97126,0.98874,0.82027,0.88678,0.40717,1.02469,0.00993169,0.00993169,0.00993169
71,2276.79,1.02852,0.65223,1.07004,0.95526,0.98276,0.98776,0.82559,0.90419,0.41669,1.04114,0.0099307,0.0099307,0.0099307
72,2308.77,1.00766,0.63742,1.06344,0.9558,0.96552,0.98572,0.82461,0.87739,0.44213,1.0322,0.00992971,0.00992971,0.00992971
73,2340.72,1.00683,0.62886,1.05554,0.9535,0.96552,0.98538,0.80953,0.89146,0.43428,1.07507,0.00992872,0.00992872,0.00992872
74,2372.81,0.99154,0.62732,1.05292,0.94371,0.96348,0.98705,0.82476,0.88562,0.40843,1.02308,0.00992773,0.00992773,0.00992773
75,2404.74,0.99949,0.64066,1.06271,0.95996,0.96443,0.98235,0.80959,0.9005,0.43917,1.0571,0.00992674,0.00992674,0.00992674
76,2436.62,1.00306,0.63543,1.05984,0.97605,0.98276,0.98743,0.82047,0.88398,0.39691,1.0199,0.00992575,0.00992575,0.00992575
77,2468.61,0.99142,0.62883,1.0436,0.96449,0.93672,0.98377,0.81221,0.91563,0.42021,1.02968,0.00992476,0.00992476,0.00992476
78,2500.53,0.97961,0.63221,1.05339,0.95961,0.9558,0.9816,0.8108,0.89152,0.4153,1.03318,0.00992377,0.00992377,0.00992377
79,2532.58,0.98658,0.62203,1.05035,0.96049,0.97794,0.98801,0.81357,0.86353,0.41837,1.0057,0.00992278,0.00992278,0.00992278
80,2564.5,0.98485,0.62155,1.06228,0.96515,0.95498,0.98493,0.80743,0.88573,0.40169,1.00015,0.00992179,0.00992179,0.00992179
81,2596.48,0.98627,0.62341,1.04979,0.95102,0.96552,0.98238,0.81542,0.85496,0.43216,1.00845,0.0099208,0.0099208,0.0099208
82,2628.41,0.99437,0.62207,1.04845,0.9585,0.95977,0.9814,0.81338,0.88134,0.43103,1.03759,0.00991981,0.00991981,0.00991981
83,2660.25,0.96085,0.60853,1.03661,0.96465,0.97126,0.98758,0.81024,0.83637,0.38542,0.99859,0.00991882,0.00991882,0.00991882
84,2692.2,0.99264,0.62215,1.08255,0.9469,0.97126,0.98232,0.81435,0.8921,0.4212,1.02326,0.00991783,0.00991783,0.00991783
85,2724.17,0.9825,0.62139,1.04785,0.9392,0.98276,0.98616,0.82095,0.8768,0.41709,1.00349,0.00991684,0.00991684,0.00991684
86,2756.09,0.98213,0.61138,1.04777,0.95981,0.96081,0.98555,0.81689,0.88057,0.42807,1.03956,0.00991585,0.00991585,0.00991585
87,2788.07,0.98179,0.6385,1.05329,0.95311,0.97126,0.98403,0.81701,0.86846,0.39352,1.02425,0.00991486,0.00991486,0.00991486
88,2820.13,0.98551,0.61705,1.04782,0.97467,0.96552,0.98785,0.8205,0.8954,0.44339,1.03951,0.00991387,0.00991387,0.00991387
89,2852.13,0.97251,0.60924,1.04874,0.94665,0.96552,0.98673,0.82004,0.87062,0.41702,1.01182,0.00991288,0.00991288,0.00991288
90,2884.16,0.96366,0.60719,1.03888,0.97682,0.96863,0.98757,0.82205,0.87238,0.38992,1.00774,0.00991189,0.00991189,0.00991189
91,2916.22,0.97534,0.60378,1.04336,0.93959,0.9832,0.98761,0.8187,0.88672,0.4191,1.0173,0.0099109,0.0099109,0.0099109
92,2948.32,0.95849,0.61619,1.03867,0.97411,0.94828,0.98744,0.81961,0.85937,0.39127,1.02487,0.00990991,0.00990991,0.00990991
